"areaCode","year","itemCode","productionValue","productionSymb"
81,1995,813,30600,"F"
81,1996,813,37000,"F"
81,1997,813,36900,"F"
81,1998,813,38800,"F"
81,1999,813,38800,"F"
81,2000,813,39400,"F"
81,2001,813,39400,"F"
81,2002,813,39400,"F"
81,2003,813,39400,"F"
81,2004,813,39400,"F"
81,2005,813,39400,"F"
81,2006,813,39400,"F"
81,2007,813,39400,"F"
81,2008,813,39400,"F"
81,2009,813,39400,"F"
81,2010,813,39400,"F"
81,2011,813,39400,"F"
100,1961,813,166500,"*"
100,1962,813,186400,"*"
100,1963,813,175600,"*"
100,1964,813,187400,"*"
100,1965,813,187000,"*"
100,1966,813,193000,"*"
100,1967,813,197700,"*"
100,1968,813,206000,"*"
100,1969,813,217700,"*"
100,1970,813,225700,"*"
100,1971,813,227500,"*"
100,1972,813,222800,"*"
100,1973,813,217400,"*"
100,1974,813,224000,"*"
100,1975,813,216600,"*"
100,1976,813,214200,"*"
100,1977,813,201100,"*"
100,1978,813,212900,"*"
100,1979,813,209400,"*"
100,1980,813,212500,"*"
100,1981,813,206900,"*"
100,1982,813,238400,"*"
100,1983,813,215800,"*"
100,1984,813,256800,"*"
100,1985,813,251500,"*"
100,1986,813,236900,"*"
100,1987,813,270100,"*"
100,1988,813,317300,"*"
100,1989,813,347700,"*"
100,1990,813,361500,"*"
100,1991,813,374500,"*"
100,1992,813,417600,"*"
100,1993,813,444700,"*"
100,1994,813,494100,"*"
100,1995,813,481100,"*"
100,1996,813,485000,"*"
100,1997,813,472500,"*"
100,1998,813,465700,"*"
100,1999,813,454000,"*"
100,2000,813,468000,"*"
100,2001,813,450000,"*"
100,2002,813,447000,"*"
100,2003,813,531500,"*"
100,2004,813,419000,"*"
100,2005,813,441500,"*"
100,2006,813,509500,"*"
100,2007,813,545000,"*"
100,2008,813,507000,"*"
100,2009,813,541000,"*"
100,2010,813,542000,"*"
100,2011,813,514000,"*"
107,1961,813,0,"M"
107,1962,813,0,"M"
107,1963,813,0,"M"
107,1964,813,0,"M"
107,1965,813,0,"M"
107,1966,813,0,"M"
107,1967,813,0,"M"
107,1968,813,0,"M"
107,1969,813,0,"M"
107,1970,813,0,"M"
107,1971,813,0,"M"
107,1972,813,0,"M"
107,1973,813,0,"M"
107,1974,813,0,"M"
107,1975,813,0,"M"
107,1976,813,0,"M"
107,1977,813,0,"M"
107,1978,813,0,"M"
107,1979,813,0,"M"
107,1980,813,0,"M"
107,1981,813,0,"M"
107,1982,813,0,"M"
107,1983,813,0,"M"
107,1984,813,0,"M"
107,1985,813,0,"M"
107,1986,813,0,"M"
107,1987,813,0,"M"
107,1988,813,0,"M"
107,1989,813,0,"M"
107,1990,813,0,"M"
107,1991,813,0,"M"
107,1992,813,0,"M"
107,1993,813,0,"M"
107,1994,813,0,"M"
107,1995,813,0,"M"
107,1996,813,0,"M"
107,1997,813,1500,"F"
107,1998,813,2000,"F"
107,1999,813,2000,"F"
107,2000,813,2000,"F"
107,2001,813,2000,"F"
107,2002,813,2000,"F"
107,2003,813,2000,"F"
107,2004,813,2000,"F"
107,2005,813,2000,"F"
107,2006,813,2000,"F"
107,2007,813,2000,"F"
107,2008,813,2050,"F"
107,2009,813,2100,"F"
107,2010,813,2200,"F"
